k,bal_acc,adj,cand
3,0.5048,0.2572,
3,0.5199,0.2799,option 1
3,0.5458,0.3187,option 2
3,0.5358,0.3037,
3,0.505,0.2576,
3,0.4686,0.2029,
3,0.4874,0.2312,
3,0.48,0.2201,
3,0.4893,0.234,
3,0.4532,0.1798,C/N/U
3,0.4577,0.1866,
3,0.455,0.1824,
3,0.4534,0.1801,
3,0.4129,0.1194,
3,0.387,0.0806,
4,0.3828,0.1771,
4,0.4045,0.2061,
4,0.4081,0.2108,
4,0.3993,0.199,
4,0.4108,0.2144,
4,0.4088,0.2117,
4,0.4017,0.2023,4-opt1
4,0.4371,0.2494,
4,0.3918,0.1891,
4,0.3918,0.1891,
4,0.3596,0.1462,
4,0.3644,0.1525,4-soft
4,0.3597,0.1463,
4,0.3866,0.1821,
4,0.3513,0.135,
4,0.3552,0.1402,
4,0.3688,0.1584,
4,0.3342,0.1123,
4,0.3334,0.1112,
4,0.3278,0.1037,
5,0.3212,0.1515,
5,0.315,0.1438,
5,0.3084,0.1355,
5,0.346,0.1826,
5,0.3108,0.1385,
5,0.3131,0.1414,
5,0.3532,0.1916,
5,0.3111,0.1388,
5,0.3151,0.1439,
5,0.3347,0.1684,
5,0.3081,0.1351,
5,0.2764,0.0955,
5,0.2778,0.0972,
5,0.2986,0.1233,
5,0.2825,0.1031,
6,0.2836,0.1403,
6,0.2519,0.1022,
6,0.2554,0.1065,
6,0.2715,0.1258,
6,0.2731,0.1277,
6,0.2452,0.0942,
7,0.2257,0.0967,
